lon,lat,lab_km
131.1589,-43.9390,68.98
131.4087,-43.9390,69.24
131.6586,-43.9390,69.45
131.9084,-43.9390,69.64
132.1582,-43.9390,69.82
132.4080,-43.9390,70.00
132.6579,-43.9390,70.22
132.9077,-43.9390,70.46
133.1575,-43.9390,70.74
133.4074,-43.9390,71.05
133.6572,-43.9390,71.37
133.9070,-43.9390,71.69
134.1568,-43.9390,71.98
134.4067,-43.9390,72.24
134.6565,-43.9390,72.44
134.9063,-43.9390,72.57
135.1561,-43.9390,72.65
135.4060,-43.9390,72.69
135.6558,-43.9390,72.71
135.9056,-43.9390,72.76
136.1554,-43.9390,72.89
136.4053,-43.9390,73.13
136.6551,-43.9390,73.55
136.9049,-43.9390,74.19
137.1548,-43.9390,75.05
137.4046,-43.9390,76.11
137.6544,-43.9390,77.32
137.9042,-43.9390,78.60
138.1541,-43.9390,79.86
138.4039,-43.9390,81.03
138.6537,-43.9390,82.00
138.9035,-43.9390,82.71
139.1534,-43.9390,83.09
139.4032,-43.9390,83.19
139.6530,-43.9390,83.07
139.9028,-43.9390,82.82
140.1527,-43.9390,82.55
140.4025,-43.9390,82.37
140.6523,-43.9390,82.41
140.9022,-43.9390,82.78
141.1520,-43.9390,83.51
141.4018,-43.9390,84.52
141.6516,-43.9390,85.66
141.9015,-43.9390,86.73
142.1513,-43.9390,87.55
142.4011,-43.9390,87.93
142.6509,-43.9390,87.69
142.9008,-43.9390,86.67
143.1506,-43.9390,84.83
143.4004,-43.9390,82.26
143.6502,-43.9390,79.17
143.9001,-43.9390,75.80
144.1499,-43.9390,72.35
144.3997,-43.9390,69.05
144.6495,-43.9390,66.09
144.8994,-43.9390,63.63
145.1492,-43.9390,61.81
145.3990,-43.9390,60.67
145.6489,-43.9390,60.20
145.8987,-43.9390,60.40
146.1485,-43.9390,61.23
146.3983,-43.9390,62.66
146.6482,-43.9390,64.67
146.8980,-43.9390,67.20
147.1478,-43.9390,70.20
147.3976,-43.9390,73.64
147.6475,-43.9390,77.44
147.8973,-43.9390,81.55
148.1471,-43.9390,85.85
148.3969,-43.9390,90.21
148.6468,-43.9390,94.47
148.8966,-43.9390,98.48
149.1464,-43.9390,102.12
149.3963,-43.9390,105.33
149.6461,-43.9390,108.12
149.8959,-43.9390,110.47
150.1457,-43.9390,112.35
150.3956,-43.9390,113.74
150.6454,-43.9390,114.59
150.8952,-43.9390,114.87
151.1450,-43.9390,114.57
151.3949,-43.9390,113.78
151.6447,-43.9390,112.58
151.8945,-43.9390,111.12
